// Data mode  : Full
// Data quality  : High
// Acceleration sensor's range  : 16g
// Gyroscope sensor's range  : 2000dps
//
//ARTIFACT,NUM,DATE,ACC_X,ACC_Y,ACC_Z,GYRO_X,GYRO_Y,GYRO_Z,EOG_L,EOG_R,EOG_H,EOG_V
,1,2023-10-20 13:50:08.24,182,-165,-2020,11,78,12,-467,-789,322,628
,2,2023-10-20 13:50:08.25,194,-174,-2030,9,90,24,-244,-919,675,581
,3,2023-10-20 13:50:08.26,201,-172,-2053,2,96,38,-467,-789,322,628
,4,2023-10-20 13:50:08.27,197,-173,-2065,3,91,41,-255,-887,632,571
,5,2023-10-20 13:50:08.28,217,-166,-2079,8,84,42,-471,-760,289,615
,6,2023-10-20 13:50:08.29,222,-154,-2077,1,80,44,-251,-888,637,569
,7,2023-10-20 13:50:08.30,233,-146,-2071,-21,78,38,-458,-747,289,602
,8,2023-10-20 13:50:08.31,223,-145,-2069,-38,80,33,-258,-763,505,510
,9,2023-10-20 13:50:08.32,235,-146,-2067,-47,80,30,-468,-620,152,544
,10,2023-10-20 13:50:08.33,235,-145,-2058,-59,83,31,-261,-711,450,486
,11,2023-10-20 13:50:08.34,250,-165,-2048,-84,85,31,-466,-614,148,540
,12,2023-10-20 13:50:08.35,253,-161,-2041,-97,95,29,-264,-696,432,480
,13,2023-10-20 13:50:08.36,261,-152,-2054,-105,102,36,-458,-587,129,522
,14,2023-10-20 13:50:08.37,248,-153,-2032,-111,129,45,-262,-655,393,458
,15,2023-10-20 13:50:08.38,279,-152,-2045,-106,102,65,-453,-571,118,512
,16,2023-10-20 13:50:08.39,246,-188,-2041,-82,116,65,-257,-714,457,485
,17,2023-10-20 13:50:08.40,264,-146,-2075,-66,101,84,-442,-614,172,528
,18,2023-10-20 13:50:08.41,261,-124,-2057,-75,95,102,-252,-671,419,461
,19,2023-10-20 13:50:08.42,279,-121,-2033,-63,87,107,-437,-581,144,509
,20,2023-10-20 13:50:08.43,281,-96,-2032,-49,65,95,-268,-736,468,502
,21,2023-10-20 13:50:08.44,287,-90,-2012,-59,62,85,-441,-630,189,535
,22,2023-10-20 13:50:08.45,285,-87,-2015,-58,66,70,-255,-680,425,467
,23,2023-10-20 13:50:08.46,311,-78,-2021,-65,65,61,-414,-539,125,476
,24,2023-10-20 13:50:08.47,326,-69,-2043,-82,68,51,-248,-612,364,430
,25,2023-10-20 13:50:08.48,314,-54,-2057,-102,62,36,-417,-527,110,472
,26,2023-10-20 13:50:08.49,308,-42,-2050,-112,49,20,-278,-666,388,472
,27,2023-10-20 13:50:08.50,318,-73,-2050,-110,36,8,-426,-599,173,512
,28,2023-10-20 13:50:08.51,327,-99,-2032,-100,20,2,-272,-745,473,508
,29,2023-10-20 13:50:08.52,315,-99,-2067,-84,4,2,-416,-632,216,524
,30,2023-10-20 13:50:08.53,312,-88,-2072,-69,-9,-6,-258,-723,465,490
,31,2023-10-20 13:50:08.54,299,-92,-2079,-62,-28,-9,-398,-598,200,498
,32,2023-10-20 13:50:08.55,301,-111,-2070,-64,-40,-8,-272,-690,418,481
,33,2023-10-20 13:50:08.56,291,-116,-2072,-52,-51,-7,-409,-590,181,499
,34,2023-10-20 13:50:08.57,275,-121,-2061,-32,-63,-2,-280,-716,436,498
,35,2023-10-20 13:50:08.58,270,-126,-2044,-9,-69,8,-399,-617,218,508
,36,2023-10-20 13:50:08.59,262,-120,-2048,8,-68,19,-275,-724,449,499
,37,2023-10-20 13:50:08.60,240,-125,-2032,20,-71,31,-396,-626,230,511
,38,2023-10-20 13:50:08.61,229,-136,-2035,31,-67,44,-297,-755,458,526
,39,2023-10-20 13:50:08.62,212,-115,-2032,63,-63,38,-401,-634,233,517
,40,2023-10-20 13:50:08.63,212,-90,-2034,121,-65,14,-302,-703,401,502
,41,2023-10-20 13:50:08.64,238,-81,-1994,158,-68,-25,-395,-600,205,497
,42,2023-10-20 13:50:08.65,254,-111,-1977,143,-72,-53,-290,-717,427,503
,43,2023-10-20 13:50:08.66,242,-130,-2007,87,-69,-61,-374,-617,243,495
,44,2023-10-20 13:50:08.67,232,-159,-2051,32,-52,-48,-293,-712,419,502
,45,2023-10-20 13:50:08.68,231,-206,-2075,-12,-31,3,-376,-596,220,486
,46,2023-10-20 13:50:08.69,219,-206,-2103,-45,-19,62,-304,-682,378,493
,47,2023-10-20 13:50:08.70,211,-181,-2080,-69,-22,113,-370,-574,204,472
,48,2023-10-20 13:50:08.71,226,-140,-2070,-78,-24,143,-300,-657,357,478
,49,2023-10-20 13:50:08.72,220,-112,-2070,-91,-31,161,-361,-534,173,447
,50,2023-10-20 13:50:08.73,224,-81,-2053,-95,-41,162,-312,-599,287,455
,51,2023-10-20 13:50:08.74,220,-64,-2043,-115,-66,118,-364,-537,173,450
,52,2023-10-20 13:50:08.75,221,-62,-2060,-132,-72,96,-302,-664,362,483
,53,2023-10-20 13:50:08.76,229,-71,-2071,-148,-73,80,-343,-601,258,472
,54,2023-10-20 13:50:08.77,229,-70,-2063,-163,-62,69,-314,-713,399,513
,55,2023-10-20 13:50:08.78,223,-49,-2061,-157,-49,58,-347,-624,277,485
,56,2023-10-20 13:50:08.79,225,-38,-2050,-136,-37,43,-314,-706,392,510
,57,2023-10-20 13:50:08.80,226,-27,-2043,-113,-28,19,-340,-614,274,477
,58,2023-10-20 13:50:08.81,214,-25,-2032,-93,-29,-5,-321,-690,369,505
,59,2023-10-20 13:50:08.82,209,-25,-2038,-78,-23,-22,-335,-568,233,451
,60,2023-10-20 13:50:08.83,220,-32,-2031,-63,-27,-39,-322,-617,295,469
,61,2023-10-20 13:50:08.84,224,-48,-2027,-46,-28,-52,-326,-534,208,430
,62,2023-10-20 13:50:08.85,222,-64,-2025,-34,-19,-46,-320,-623,303,471
,63,2023-10-20 13:50:08.86,211,-73,-2053,-18,-11,-31,-322,-548,226,435
,64,2023-10-20 13:50:08.87,220,-58,-2047,-13,-8,-10,-325,-613,288,469
,65,2023-10-20 13:50:08.88,213,-60,-2035,-16,-3,14,-318,-573,255,445
,66,2023-10-20 13:50:08.89,232,-58,-2026,-8,6,24,-335,-684,349,509
,67,2023-10-20 13:50:08.90,223,-45,-2030,-3,13,30,-322,-613,291,467
,68,2023-10-20 13:50:08.91,226,-46,-2024,-6,26,32,-341,-653,312,497
,69,2023-10-20 13:50:08.92,233,-40,-2030,-2,41,36,-315,-548,233,431
,70,2023-10-20 13:50:08.93,234,-41,-2033,-1,52,35,-347,-603,256,475
,71,2023-10-20 13:50:08.94,235,-45,-2034,-3,55,36,-308,-539,231,423
,72,2023-10-20 13:50:08.95,246,-50,-2036,-5,62,34,-352,-604,252,478
,73,2023-10-20 13:50:08.96,251,-47,-2050,-6,67,41,-296,-578,282,437
,74,2023-10-20 13:50:08.97,259,-54,-2054,-6,67,45,-353,-660,307,506
,75,2023-10-20 13:50:08.98,255,-46,-2058,3,64,45,-294,-618,324,456
,76,2023-10-20 13:50:08.99,259,-47,-2058,7,61,39,-368,-676,308,522
,77,2023-10-20 13:50:09.00,256,-51,-2053,13,57,40,-296,-620,324,458
,78,2023-10-20 13:50:09.01,264,-41,-2053,19,54,38,-371,-671,300,521
,79,2023-10-20 13:50:09.02,262,-44,-2043,16,57,31,-287,-653,366,470
,80,2023-10-20 13:50:09.03,254,-66,-2044,11,59,33,-374,-711,337,542
,81,2023-10-20 13:50:09.04,256,-58,-2048,9,60,41,-280,-642,362,461
,82,2023-10-20 13:50:09.05,266,-70,-2046,11,58,54,-368,-663,295,515
,83,2023-10-20 13:50:09.06,242,-68,-2043,6,62,67,-274,-575,301,424
,84,2023-10-20 13:50:09.07,258,-71,-2043,5,57,78,-382,-601,219,491
,85,2023-10-20 13:50:09.08,235,-61,-2058,13,58,86,-274,-558,284,416
,86,2023-10-20 13:50:09.09,250,-58,-2048,32,55,88,-382,-607,225,494
,87,2023-10-20 13:50:09.10,252,-52,-2041,53,56,83,-268,-597,329,432
,88,2023-10-20 13:50:09.11,244,-66,-2043,73,55,71,-384,-644,260,514
,89,2023-10-20 13:50:09.12,265,-70,-2029,89,63,64,-256,-608,352,432
,90,2023-10-20 13:50:09.13,269,-83,-2034,107,74,59,-380,-641,261,510
,91,2023-10-20 13:50:09.14,270,-83,-2043,125,83,59,-253,-607,354,430
,92,2023-10-20 13:50:09.15,259,-78,-2052,130,89,63,-390,-639,249,514
,93,2023-10-20 13:50:09.16,251,-86,-2051,135,85,59,-256,-651,395,453
,94,2023-10-20 13:50:09.17,266,-84,-2045,135,79,57,-405,-692,287,548
,95,2023-10-20 13:50:09.18,266,-93,-2051,130,70,55,-252,-667,415,459
,96,2023-10-20 13:50:09.19,256,-96,-2066,126,64,51,-402,-670,268,536
,97,2023-10-20 13:50:09.20,256,-94,-2072,125,56,52,-252,-621,369,436
,98,2023-10-20 13:50:09.21,268,-97,-2063,125,52,48,-413,-622,209,517
,99,2023-10-20 13:50:09.22,269,-90,-2060,120,49,39,-252,-599,347,425
,100,2023-10-20 13:50:09.23,283,-86,-2060,111,49,38,-424,-614,190,519
,101,2023-10-20 13:50:09.24,284,-91,-2064,104,49,36,-251,-598,347,424
,102,2023-10-20 13:50:09.25,275,-86,-2049,100,46,32,-423,-610,187,516
,103,2023-10-20 13:50:09.26,267,-97,-2048,93,40,29,-246,-629,383,437
,104,2023-10-20 13:50:09.27,266,-107,-2050,86,32,27,-428,-652,224,540
,105,2023-10-20 13:50:09.28,283,-102,-2044,84,34,26,-241,-646,405,443
,106,2023-10-20 13:50:09.29,281,-100,-2041,80,31,27,-431,-647,216,539
,107,2023-10-20 13:50:09.30,287,-99,-2054,76,30,30,-243,-605,362,424
,108,2023-10-20 13:50:09.31,285,-97,-2045,64,29,30,-443,-598,155,520
,109,2023-10-20 13:50:09.32,283,-99,-2039,55,28,29,-244,-622,378,433
,110,2023-10-20 13:50:09.33,282,-97,-2037,49,26,32,-445,-644,199,544
,111,2023-10-20 13:50:09.34,272,-98,-2023,49,26,26,-259,-652,393,455
,112,2023-10-20 13:50:09.35,282,-110,-2018,48,23,23,-471,-630,159,550
,113,2023-10-20 13:50:09.36,287,-117,-2035,43,28,30,-252,-631,379,441
,114,2023-10-20 13:50:09.37,286,-108,-2026,38,30,34,-443,-612,169,527
,115,2023-10-20 13:50:09.38,276,-103,-2034,43,30,37,-227,-631,404,429
,116,2023-10-20 13:50:09.39,275,-116,-2034,59,30,40,-444,-623,179,533
,117,2023-10-20 13:50:09.40,292,-79,-2033,97,25,16,-238,-686,448,462
,118,2023-10-20 13:50:09.41,285,-67,-2009,131,22,-25,-454,-666,212,560
,119,2023-10-20 13:50:09.42,290,-88,-2027,130,27,-54,-234,-691,457,462
,120,2023-10-20 13:50:09.43,315,-87,-2041,103,32,-68,-454,-645,191,549
,121,2023-10-20 13:50:09.44,306,-149,-2032,94,41,-78,-237,-632,395,434
,122,2023-10-20 13:50:09.45,291,-160,-2073,90,46,-71,-456,-591,135,523
,123,2023-10-20 13:50:09.46,302,-165,-2084,67,58,-41,-230,-657,427,443
,124,2023-10-20 13:50:09.47,289,-154,-2103,60,62,-6,-452,-644,192,548
,125,2023-10-20 13:50:09.48,288,-131,-2102,61,53,17,-226,-675,449,450
,126,2023-10-20 13:50:09.49,293,-112,-2062,47,39,40,-454,-618,164,536
,127,2023-10-20 13:50:09.50,281,-127,-2044,48,29,44,-234,-662,428,448
,128,2023-10-20 13:50:09.51,289,-103,-2033,58,7,40,-468,-621,153,544
,129,2023-10-20 13:50:09.52,278,-98,-2015,54,-3,39,-239,-639,400,439
,130,2023-10-20 13:50:09.53,278,-96,-2021,61,-6,36,-467,-586,119,526
,131,2023-10-20 13:50:09.54,310,-97,-2000,57,-11,37,-248,-647,399,447
,132,2023-10-20 13:50:09.55,280,-124,-2010,66,-6,23,-479,-612,133,545
,133,2023-10-20 13:50:09.56,280,-117,-2026,77,-9,19,-244,-712,468,478
,134,2023-10-20 13:50:09.57,292,-113,-2039,75,1,20,-472,-658,186,565
,135,2023-10-20 13:50:09.58,283,-104,-2066,72,5,25,-234,-658,424,446
,136,2023-10-20 13:50:09.59,282,-100,-2080,62,0,20,-464,-569,105,516
,137,2023-10-20 13:50:09.60,291,-130,-2034,51,3,23,-236,-627,391,431
,138,2023-10-20 13:50:09.61,280,-133,-2044,61,2,13,-474,-585,111,529
,139,2023-10-20 13:50:09.62,281,-117,-2059,72,-6,8,-249,-660,411,454
,140,2023-10-20 13:50:09.63,292,-108,-2051,80,-12,-2,-477,-607,130,542
,141,2023-10-20 13:50:09.64,266,-109,-2055,76,-19,-10,-235,-714,479,474
,142,2023-10-20 13:50:09.65,281,-113,-2054,56,-19,-6,-460,-646,186,553
,143,2023-10-20 13:50:09.66,288,-163,-2000,55,-16,-12,-237,-698,461,467
,144,2023-10-20 13:50:09.67,283,-183,-2013,78,-19,-11,-474,-611,137,542
,145,2023-10-20 13:50:09.68,291,-173,-2048,82,-18,6,-242,-730,488,486
,146,2023-10-20 13:50:09.69,280,-151,-2071,73,-15,32,-458,-656,198,557
,147,2023-10-20 13:50:09.70,278,-150,-2058,73,-15,50,-242,-730,488,486
,148,2023-10-20 13:50:09.71,282,-166,-2033,90,-15,54,-471,-625,154,548
,149,2023-10-20 13:50:09.72,292,-160,-2019,109,-15,52,-254,-713,459,483
,150,2023-10-20 13:50:09.73,279,-145,-2031,116,-10,44,-465,-615,150,540
,151,2023-10-20 13:50:09.74,284,-138,-2028,108,1,44,-242,-666,424,454
,152,2023-10-20 13:50:09.75,289,-150,-2015,114,9,33,-456,-576,120,516
,153,2023-10-20 13:50:09.76,304,-163,-2000,115,18,22,-245,-700,455,472
,154,2023-10-20 13:50:09.77,287,-167,-2043,112,28,15,-464,-626,162,545
,155,2023-10-20 13:50:09.78,293,-177,-2038,118,39,18,-252,-732,480,492
,156,2023-10-20 13:50:09.79,303,-183,-2038,127,49,18,-462,-622,160,542
,157,2023-10-20 13:50:09.80,299,-181,-2052,136,52,19,-256,-670,414,463
,158,2023-10-20 13:50:09.81,301,-161,-2052,135,56,14,-457,-576,119,516
,159,2023-10-20 13:50:09.82,294,-131,-2077,122,52,6,-256,-712,456,484
,160,2023-10-20 13:50:09.83,306,-132,-2053,103,52,-3,-459,-638,179,548
,161,2023-10-20 13:50:09.84,291,-173,-2032,105,55,-21,-259,-747,488,503
,162,2023-10-20 13:50:09.85,277,-166,-2040,110,48,-31,-449,-627,178,538
,163,2023-10-20 13:50:09.86,297,-162,-2040,106,39,-33,-248,-685,437,466
,164,2023-10-20 13:50:09.87,282,-162,-2049,100,34,-35,-436,-568,132,502
,165,2023-10-20 13:50:09.88,269,-145,-2066,93,26,-38,-256,-661,405,458
,166,2023-10-20 13:50:09.89,292,-170,-2010,80,14,-36,-444,-581,137,512
,167,2023-10-20 13:50:09.90,293,-205,-2005,76,19,-34,-264,-687,423,475
,168,2023-10-20 13:50:09.91,283,-185,-2023,92,15,-35,-435,-590,155,512
,169,2023-10-20 13:50:09.92,282,-175,-2011,99,18,-34,-250,-685,435,467
,170,2023-10-20 13:50:09.93,286,-176,-2019,99,24,-28,-420,-589,169,504
,171,2023-10-20 13:50:09.94,301,-172,-2028,95,26,-21,-258,-713,455,485
,172,2023-10-20 13:50:09.95,304,-197,-2025,96,34,-21,-428,-614,186,521
,173,2023-10-20 13:50:09.96,295,-213,-2025,105,44,-20,-266,-700,434,483
,174,2023-10-20 13:50:09.97,304,-226,-2032,106,48,-16,-424,-582,158,503
,175,2023-10-20 13:50:09.98,308,-214,-2051,106,64,2,-262,-660,398,461
,176,2023-10-20 13:50:09.99,293,-220,-2058,116,71,18,-413,-577,164,495
,177,2023-10-20 13:50:10.00,297,-201,-2049,132,76,29,-271,-721,450,496
,178,2023-10-20 13:50:10.01,299,-190,-2037,146,69,24,-418,-615,197,516
,179,2023-10-20 13:50:10.02,304,-185,-2043,158,62,13,-272,-702,430,487
,180,2023-10-20 13:50:10.03,300,-198,-2028,166,54,-3,-405,-610,205,507
,181,2023-10-20 13:50:10.04,311,-226,-2023,170,61,-13,-272,-742,470,507
,182,2023-10-20 13:50:10.05,308,-215,-2050,171,63,-17,-395,-638,243,516
,183,2023-10-20 13:50:10.06,318,-235,-2039,169,72,-20,-272,-735,463,503
,184,2023-10-20 13:50:10.07,312,-229,-2052,172,69,-16,-400,-608,208,504
,185,2023-10-20 13:50:10.08,311,-233,-2044,169,60,-17,-287,-686,399,486
,186,2023-10-20 13:50:10.09,316,-233,-2033,163,55,-22,-397,-559,162,478
,187,2023-10-20 13:50:10.10,321,-244,-2023,163,42,-21,-278,-636,358,457
,188,2023-10-20 13:50:10.11,312,-258,-2023,158,36,-17,-383,-587,204,485
,189,2023-10-20 13:50:10.12,318,-269,-2019,153,38,-7,-288,-784,496,536
,190,2023-10-20 13:50:10.13,314,-269,-2021,152,47,-2,-397,-618,221,507
,191,2023-10-20 13:50:10.14,311,-278,-2033,150,40,10,-294,-541,247,417
,192,2023-10-20 13:50:10.15,316,-279,-2026,145,35,16,-373,-380,7,376
,193,2023-10-20 13:50:10.16,319,-287,-2026,137,32,26,-289,-463,174,376
,194,2023-10-20 13:50:10.17,321,-267,-2035,125,34,36,-362,-539,177,450
,195,2023-10-20 13:50:10.18,331,-272,-2028,111,29,43,-297,-838,541,567
,196,2023-10-20 13:50:10.19,319,-274,-2031,100,26,46,-375,-736,361,555
,197,2023-10-20 13:50:10.20,313,-269,-2040,89,17,50,-319,-720,401,519
,198,2023-10-20 13:50:10.21,307,-277,-2029,76,14,56,-371,-547,176,459
,199,2023-10-20 13:50:10.22,309,-287,-2037,67,10,61,-324,-632,308,478
,200,2023-10-20 13:50:10.23,326,-278,-2033,66,4,65,-373,-573,200,473
,201,2023-10-20 13:50:10.24,323,-276,-2023,56,3,67,-318,-708,390,513
,202,2023-10-20 13:50:10.25,319,-283,-2030,45,6,71,-354,-615,261,484
,203,2023-10-20 13:50:10.26,311,-280,-2031,37,3,58,-323,-682,359,502
,204,2023-10-20 13:50:10.27,309,-293,-2050,27,-3,60,-351,-577,226,464
,205,2023-10-20 13:50:10.28,303,-271,-2058,26,-9,62,-324,-656,332,490
,206,2023-10-20 13:50:10.29,302,-247,-2043,48,-20,45,-351,-579,228,465
,207,2023-10-20 13:50:10.30,315,-266,-2006,70,-28,19,-334,-674,340,504
,208,2023-10-20 13:50:10.31,298,-269,-1993,97,-26,-11,-343,-564,221,453
,209,2023-10-20 13:50:10.32,294,-256,-2006,93,-23,-21,-342,-613,271,477
,210,2023-10-20 13:50:10.33,319,-247,-2025,49,-33,-11,-338,-548,210,443
,211,2023-10-20 13:50:10.34,310,-268,-2030,-1,-40,-13,-331,-654,323,492
,212,2023-10-20 13:50:10.35,321,-294,-2004,-27,-34,-13,-322,-591,269,456
,213,2023-10-20 13:50:10.36,319,-338,-1999,-35,-28,0,-342,-666,324,504
,214,2023-10-20 13:50:10.37,314,-324,-2031,-41,-19,34,-324,-582,258,453
,215,2023-10-20 13:50:10.38,324,-304,-2036,-52,-12,66,-342,-654,312,498
,216,2023-10-20 13:50:10.39,320,-274,-2049,-59,-3,83,-314,-564,250,439
,217,2023-10-20 13:50:10.40,329,-252,-2044,-66,-3,82,-344,-627,283,485
,218,2023-10-20 13:50:10.41,326,-242,-2033,-75,1,67,-308,-548,240,428
,219,2023-10-20 13:50:10.42,344,-223,-2043,-91,1,54,-352,-614,262,483
,220,2023-10-20 13:50:10.43,334,-222,-2049,-102,0,43,-311,-570,259,440
,221,2023-10-20 13:50:10.44,340,-206,-2035,-107,-3,32,-364,-659,295,511
,222,2023-10-20 13:50:10.45,339,-204,-2015,-105,-9,20,-302,-597,295,449
,223,2023-10-20 13:50:10.46,335,-202,-2028,-102,-14,3,-362,-647,285,504
,224,2023-10-20 13:50:10.47,325,-220,-2022,-99,-20,-3,-295,-573,278,434
,225,2023-10-20 13:50:10.48,333,-213,-2022,-92,-23,-8,-368,-622,254,495
,226,2023-10-20 13:50:10.49,324,-224,-2019,-79,-29,-13,-300,-571,271,435
,227,2023-10-20 13:50:10.50,329,-238,-2025,-78,-32,-13,-386,-626,240,506
,228,2023-10-20 13:50:10.51,320,-235,-2036,-76,-40,-13,-293,-568,275,430
,229,2023-10-20 13:50:10.52,316,-227,-2031,-68,-45,-8,-383,-634,251,508
,230,2023-10-20 13:50:10.53,310,-229,-2030,-64,-54,-6,-288,-557,269,422
,231,2023-10-20 13:50:10.54,309,-223,-2036,-76,-58,1,-399,-589,190,494
,232,2023-10-20 13:50:10.55,311,-208,-2027,-85,-53,0,-281,-552,271,416
,233,2023-10-20 13:50:10.56,314,-214,-2015,-89,-53,4,-382,-616,234,499
,234,2023-10-20 13:50:10.57,308,-213,-2017,-87,-45,3,-282,-601,319,441
,235,2023-10-20 13:50:10.58,312,-219,-2015,-87,-41,-1,-402,-638,236,520
,236,2023-10-20 13:50:10.59,315,-214,-2004,-89,-32,-1,-281,-595,314,438
,237,2023-10-20 13:50:10.60,327,-212,-2003,-86,-20,1,-405,-627,222,516
,238,2023-10-20 13:50:10.61,322,-218,-2016,-81,-10,-1,-282,-629,347,455
,239,2023-10-20 13:50:10.62,303,-213,-2022,-80,-1,7,-412,-682,270,547
,240,2023-10-20 13:50:10.63,326,-226,-2030,-80,1,13,-268,-635,367,451
,241,2023-10-20 13:50:10.64,313,-235,-2040,-78,4,21,-413,-636,223,524
,242,2023-10-20 13:50:10.65,322,-228,-2031,-79,10,28,-271,-638,367,454
,243,2023-10-20 13:50:10.66,314,-211,-2033,-81,13,33,-418,-684,266,551
,244,2023-10-20 13:50:10.67,321,-201,-2039,-90,14,30,-264,-691,427,477
,245,2023-10-20 13:50:10.68,316,-191,-2036,-109,16,24,-417,-703,286,560
,246,2023-10-20 13:50:10.69,317,-186,-2042,-124,17,21,-264,-638,374,451
,247,2023-10-20 13:50:10.70,318,-195,-2033,-147,12,18,-437,-613,176,525
,248,2023-10-20 13:50:10.71,322,-193,-2026,-176,11,18,-268,-580,312,424
,249,2023-10-20 13:50:10.72,328,-197,-2016,-196,11,22,-430,-597,167,513
,250,2023-10-20 13:50:10.73,306,-230,-2017,-216,27,33,-250,-612,362,431
,251,2023-10-20 13:50:10.74,274,-217,-2079,-200,27,53,-430,-635,205,532
,252,2023-10-20 13:50:10.75,297,-120,-2052,-129,-4,38,-258,-653,395,455
,253,2023-10-20 13:50:10.76,296,-102,-2029,-81,-29,-6,-441,-662,221,551
,254,2023-10-20 13:50:10.77,308,-116,-1997,-77,-42,-46,-258,-731,473,494
,255,2023-10-20 13:50:10.78,311,-136,-2010,-91,-41,-78,-445,-729,284,587
,256,2023-10-20 13:50:10.79,307,-154,-2023,-88,-44,-98,-252,-672,420,462
,257,2023-10-20 13:50:10.80,311,-187,-2028,-82,-40,-101,-449,-622,173,535
,258,2023-10-20 13:50:10.81,319,-227,-2036,-57,-16,-54,-256,-649,393,452
,259,2023-10-20 13:50:10.82,314,-230,-2044,-47,-3,-17,-454,-658,204,556
,260,2023-10-20 13:50:10.83,312,-201,-2042,-37,4,14,-249,-631,382,440
,261,2023-10-20 13:50:10.84,313,-177,-2044,-25,4,38,-456,-598,142,527
,262,2023-10-20 13:50:10.85,307,-164,-2032,-22,-1,48,-255,-592,337,423
,263,2023-10-20 13:50:10.86,318,-164,-2040,-25,-3,52,-460,-589,129,524
,264,2023-10-20 13:50:10.87,329,-168,-2046,-37,-7,61,-248,-569,321,408
,265,2023-10-20 13:50:10.88,321,-148,-2053,-40,-12,72,-456,-552,96,504
,266,2023-10-20 13:50:10.89,330,-133,-2041,-34,-22,65,-238,-640,402,439
,267,2023-10-20 13:50:10.90,331,-135,-2049,-37,-28,57,-456,-656,200,556
,268,2023-10-20 13:50:10.91,321,-122,-2050,-38,-33,44,-238,-752,514,495
,269,2023-10-20 13:50:10.92,321,-113,-2044,-25,-37,27,-453,-715,262,584
,270,2023-10-20 13:50:10.93,302,-130,-2025,-16,-48,4,-246,-743,497,494
,271,2023-10-20 13:50:10.94,327,-136,-2040,-30,-50,-5,-471,-680,209,575
,272,2023-10-20 13:50:10.95,303,-160,-2059,-43,-50,-10,-245,-781,536,513
,273,2023-10-20 13:50:10.96,289,-156,-2067,-47,-53,-2,-465,-733,268,599
,274,2023-10-20 13:50:10.97,304,-142,-2053,-62,-61,9,-251,-815,564,533
,275,2023-10-20 13:50:10.98,306,-133,-2057,-82,-70,10,-484,-753,269,618
,276,2023-10-20 13:50:10.99,299,-121,-2060,-97,-65,6,-255,-898,643,576
,277,2023-10-20 13:50:11.00,303,-126,-2051,-98,-59,9,-477,-826,349,651
,278,2023-10-20 13:50:11.01,299,-107,-2044,-90,-63,14,-246,-881,635,563
,279,2023-10-20 13:50:11.02,294,-121,-2046,-93,-67,17,-479,-770,291,624
,280,2023-10-20 13:50:11.03,291,-100,-2013,-87,-69,8,-248,-846,598,547
,281,2023-10-20 13:50:11.04,278,-123,-2020,-71,-71,0,-478,-767,289,622
,282,2023-10-20 13:50:11.05,279,-110,-2023,-59,-71,-1,-242,-900,658,571
,283,2023-10-20 13:50:11.06,273,-114,-2029,-45,-71,-5,-472,-812,340,642
,284,2023-10-20 13:50:11.07,272,-107,-2028,-36,-75,-11,-246,-898,652,572
,285,2023-10-20 13:50:11.08,263,-120,-2027,-30,-74,-17,-485,-793,308,639
,286,2023-10-20 13:50:11.09,261,-131,-2028,-26,-66,-13,-248,-922,674,585
,287,2023-10-20 13:50:11.10,249,-133,-2041,-29,-58,-5,-478,-826,348,652
,288,2023-10-20 13:50:11.11,244,-129,-2056,-33,-55,9,-238,-932,694,585
,289,2023-10-20 13:50:11.12,259,-115,-2061,-41,-50,14,-471,-810,339,640
,290,2023-10-20 13:50:11.13,246,-111,-2061,-47,-49,14,-250,-908,658,579
,291,2023-10-20 13:50:11.14,238,-104,-2057,-55,-40,12,-488,-795,307,641
,292,2023-10-20 13:50:11.15,243,-111,-2054,-50,-41,9,-253,-918,665,585
,293,2023-10-20 13:50:11.16,244,-102,-2055,-43,-39,4,-479,-811,332,645
,294,2023-10-20 13:50:11.17,239,-95,-2052,-33,-30,-2,-252,-934,682,593
,295,2023-10-20 13:50:11.18,232,-107,-2055,-22,-22,-8,-479,-816,337,647
,296,2023-10-20 13:50:11.19,230,-94,-2048,-14,-17,-7,-248,-944,696,596
,297,2023-10-20 13:50:11.20,237,-117,-2031,-4,-7,-8,-478,-819,341,648
,298,2023-10-20 13:50:11.21,222,-108,-2047,9,-2,-4,-254,-928,674,591
,299,2023-10-20 13:50:11.22,232,-116,-2018,14,5,6,-474,-801,327,637
,300,2023-10-20 13:50:11.23,227,-120,-2025,17,16,16,-244,-925,681,584
,301,2023-10-20 13:50:11.24,242,-110,-2026,18,29,23,-466,-792,326,629
,302,2023-10-20 13:50:11.25,242,-108,-2033,20,39,28,-256,-893,637,574
,303,2023-10-20 13:50:11.26,248,-104,-2024,17,46,30,-478,-764,286,621
,304,2023-10-20 13:50:11.27,239,-97,-2029,19,48,28,-264,-880,616,572
,305,2023-10-20 13:50:11.28,249,-95,-2030,18,54,32,-477,-763,286,620
,306,2023-10-20 13:50:11.29,255,-97,-2031,13,55,31,-256,-873,617,564
,307,2023-10-20 13:50:11.30,257,-96,-2039,11,59,34,-460,-734,274,597
,308,2023-10-20 13:50:11.31,261,-101,-2039,11,56,32,-259,-802,543,530
,309,2023-10-20 13:50:11.32,257,-113,-2041,12,58,33,-468,-678,210,573
,310,2023-10-20 13:50:11.33,284,-102,-2034,8,55,43,-256,-776,520,516
,311,2023-10-20 13:50:11.34,260,-105,-2050,6,54,40,-461,-687,226,574
,312,2023-10-20 13:50:11.35,258,-125,-2070,-4,53,51,-258,-825,567,541
,313,2023-10-20 13:50:11.36,245,-81,-2079,-1,50,59,-455,-721,266,588
